iata_code,latitude,longitude,country_code,country_name,city_code_list,city_name_list
RNZ,68.776111,-81.243611,CA,Canada,YUX,Hall Beach
ORO,37.26984,-81.22232,US,United States,BLF,Bluefield
YTJ,41.73,-81.22,US,United States,PVZ,Painesville
PCM,32.127583,-81.202139,US,United States,SAV,Savannah
ESC,37.77817,-81.18816,US,United States,BKW,Beckley
VPZ,42.77361,-81.18038,CA,Canada,YQS,St. Thomas
GZH,43.25,-81.15,CA,Canada,XIO,St Marys
SES,36.17,-81.15,US,United States,IKB,Wilkes County Airport
YSS,44.745834,-81.107222,CA,Canada,YVV,Wiarton Airport
SEM,29.179917,-81.058056,US,United States,DAB,Daytona Beach
DCU,24.72,-81.05,US,United States,MTH,The Florida Keys Marathon Airport
HNB,49.15019,-81.03307,CA,Canada,YCN,Cochrane
YGQ,43.37,-81,CA,Canada,XFD,Stratford ON CA Railway Statio
CZM,46.48749,-80.99219,CA,Canada,YSB,Greater Sudbury
LAF,8.1,-80.98,PA,Panama,SYP,Ruben Cantu Airport
UII,35.77,-80.95,US,United States,SVH,Statesville Regional Airport
MGC,29.05443,-80.94783,US,United States,EVB,New Smyrna Beach Municipal Airport
CUN,44.56717,-80.94349,CA,Canada,YOS,Owen Sound
LCE,35.214,-80.943139,US,United States,CLT,Charlotte
PJZ,46.71091,-80.9283,CA,Canada,XAW,Capreol
BHM,43.04037,-80.88503,CA,Canada,XIB,Ingersoll
BNA,33.49182,-80.85565,US,United States,OGB,Orangeburg
HSV,27.25,-80.83,US,United States,OBE,Okeechobee
ISJ,42.65,-80.82,CA,Canada,XBW,Killineq
LPO,28.5148,-80.799228,US,United States,TIX,Space Coast Regional Airport
YQN,41.73,-80.77,US,United States,JFN,Ashtabula County Airport
HUA,43.12,-80.77,CA,Canada,XIP,Woodstock ON CA Railway Statio
CYL,-0.95,-80.73333,EC,Ecuador,MEC,Manta
FRH,40.06396,-80.72091,US,United States,HLG,Wheeling
BMG,32.22,-80.7,US,United States,HHH,Hilton Head Airport
LUI,-1.333,-80.67,EC,Ecuador,JIP,Jipijapa
OAN,41.27,-80.67,US,United States,YNG,Youngstown-Warren Regional Airport
FYM,32.90517,-80.66677,US,United States,RBW,Walterboro
CEW,26.82006,-80.66534,US,United States,PHK,Pahokee
RTB,28.102753,-80.645258,US,United States,MLB,Melbourne
VPS,51.27931,-80.6345,CA,Canada,YMO,Moosonee
MQY,-5.19449,-80.63282,PE,Peru,PIU,Piura
EGI,28.13,-80.63,US,United States,COI,Cocoa
DSI,35.02043,-80.61868,US,United States,EQY,Monroe Airport
BFR,35.63,-80.52,US,United States,SRW,Salisbury
DTS,25.46872,-80.47756,US,United States,HST,Homestead
SYI,-1.04165,-80.4722,EC,Ecuador,PVO,Portoviejo
LDM,33.972719,-80.470564,US,United States,SSC,Sumter
BWG,25.07238,-80.46071,US,United States,KYL,Key Largo
YSP,-3.56694,-80.45153,PE,Peru,TBP,Tumbes
BEH,22.14957,-80.44662,CU,Cuba,CFG,Cienfuegos
MGM,37.80179,-80.44563,US,United States,LWB,Lewisburg
GUN,7.967,-80.43,PA,Panama,CTD,Chitre
MXF,27.655556,-80.417944,US,United States,VRB,Vero Beach
MBL,37.22957,-80.41394,US,United States,BCB,Blacksburg
SBN,-0.5833,-80.4,EC,Ecuador,BHA,Bahia De Caraquez
PLY,40.77,-80.4,US,United States,BFP,Beaver County Airport
EYE,43.45747,-80.38593,CA,Canada,YTO,Toronto
IND,27.49532,-80.36783,US,United States,FPR,Fort Pierce
PLR,39.28065,-80.34453,US,United States,CKB,Clarksburg
MGA,35.78069,-80.30255,US,United States,EXX,Lexington Municipal Airport
YUT,40.13618,-80.29201,US,United States,WSG,Washington County Airport
MKG,25.31369,-80.28646,US,United States,OCA,Ocean Reef Club
TUH,43.15,-80.28,CA,Canada,XFV,Brantford
NLE,43.54594,-80.25599,CA,Canada,XIA,Guelph
RCR,27.19755,-80.25283,US,United States,SUA,Stuart
THA,42.56678,-80.24965,CA,Canada,YLX,Long Point
GUS,40.491467,-80.232872,US,United States,PIT,Pittsburgh
OKK,39.8538,-80.22287,US,United States,WAY,Greene County
JUT,36.133722,-80.222,US,United States,INT,Smith Reynolds Airport
HLM,41.62589,-80.21617,US,United States,MEJ,Meadville
ASN,42.082022,-80.176217,US,United States,ERI,Erie
GAD,26.18,-80.17,US,United States,FLL,Fort Lauderdale
GUO,26,-80.15,US,United States,HWO,Hollywood
TCF,45.16767,-80.13814,CA,Canada,YSI,Fryingpan Island
EKI,26.23786,-80.12477,US,United States,PPM,Pompano Beach
RLI,26.37,-80.12,US,United States,BCT,Boca Raton
TOI,34.40515,-80.11812,US,United States,HVS,Hartsville
FTK,26.68,-80.1,US,United States,PBI,West Palm Beach
TJI,19.66005,-80.0878,KY,Cayman Islands,LYB,Little Cayman
